model,window,method,policy,residual_residency,nll,hbm_mib,dram_mib
mistral,21,tq4,,1.0,0.9568985330806896,274.251953125,0.0
mistral,22,bf16,,,1.57545449201373,1056.0,0.0
mistral,22,tq2,,,1.719358192562197,142.25048828125,0.0
mistral,22,paged_precision,,0.0,1.775650639268349,142.25439453125,0.0
mistral,22,paged_precision,sink,0.1,1.7267040712143285,155.75439453125,118.5
mistral,22,paged_precision,recent,0.1,1.5888052496900755,155.75439453125,118.5
mistral,22,paged_precision,attention_ema,0.1,1.5956510489417575,155.75439453125,118.5
mistral,22,paged_precision,sink,0.25,1.7188714545972061,175.25439453125,99.0
mistral,22,paged_precision,recent,0.25,1.584997430923437,175.25439453125,99.0
mistral,22,paged_precision,attention_ema,0.25,1.5841153829790535,175.25439453125,99.0
mistral,22,paged_precision,sink,0.5,1.7194284444026238,208.25439453125,66.0
mistral,22,paged_precision,recent,0.5,1.5781668539012657,208.25439453125,66.0
mistral,22,paged_precision,attention_ema,0.5,1.587964139861814,208.25439453125,66.0
mistral,22,tq3,,,1.586309769647574,208.2509765625,0.0
mistral,22,tq4,,1.0,1.5818333189310003,274.251953125,0.0
mistral,23,bf16,,,1.7597330254386918,1056.0,0.0
mistral,23,tq2,,,1.9641165650089079,142.25048828125,0.0
mistral,23,paged_precision,,0.0,1.962766898408404,142.25439453125,0.0
mistral,23,paged_precision,sink,0.1,1.9306469352063687,155.75439453125,118.5
mistral,23,paged_precision,recent,0.1,1.8391792268668326,155.75439453125,118.5
mistral,23,paged_precision,attention_ema,0.1,1.7826329058958237,155.75439453125,118.5
mistral,23,paged_precision,sink,0.25,1.896127850710002,175.25439453125,99.0
mistral,23,paged_precision,recent,0.25,1.8320337434111735,175.25439453125,99.0
mistral,23,paged_precision,attention_ema,0.25,1.7708684220247335,175.25439453125,99.0
mistral,23,paged_precision,sink,0.5,1.8833697672075118,208.25439453125,66.0
mistral,23,paged_precision,recent,0.5,1.8018208186476699,208.25439453125,66.0
mistral,23,paged_precision,attention_ema,0.5,1.7661949667053989,208.25439453125,66.0
mistral,23,tq3,,,1.8146118092373342,208.2509765625,0.0
mistral,23,tq4,,1.0,1.7652667239682103,274.251953125,0.0
mistral,24,bf16,,,2.2005444252507074,1056.0,0.0
mistral,24,tq2,,,2.4006229689827308,142.25048828125,0.0
mistral,24,paged_precision,,0.0,2.4094655810020527,142.25439453125,0.0
mistral,24,paged_precision,sink,0.1,2.3726476683672786,155.75439453125,118.5
mistral,24,paged_precision,recent,0.1,2.2446448466937774,155.75439453125,118.5
mistral,24,paged_precision,attention_ema,0.1,2.2386370314097395,155.75439453125,118.5
mistral,24,paged_precision,sink,0.25,2.359799894412788,175.25439453125,99.0
mistral,24,paged_precision,recent,0.25,2.229400907756311,175.25439453125,99.0
mistral,24,paged_precision,attention_ema,0.25,2.225251535853105,175.25439453125,99.0
mistral,24,paged_precision,sink,0.5,2.3501839163312894,208.25439453125,66.0
mistral,24,paged_precision,recent,0.5,2.223306757590148,208.25439453125,66.0
mistral,24,paged_precision,attention_ema,0.5,2.2199877739024734,208.25439453125,66.0
mistral,24,tq3,,,2.2164753329767617,208.2509765625,0.0
mistral,24,tq4,,1.0,2.1965937590940428,274.251953125,0.0
mistral,25,bf16,,,2.1782246326230013,1056.0,0.0
mistral,25,tq2,,,2.362154062424082,142.25048828125,0.0
mistral,25,paged_precision,,0.0,2.3164525826587408,142.25439453125,0.0
mistral,25,paged_precision,sink,0.1,2.325147996427603,155.75439453125,118.5
mistral,25,paged_precision,recent,0.1,2.2181724309153026,155.75439453125,118.5
mistral,25,paged_precision,attention_ema,0.1,2.206723231112072,155.75439453125,118.5
mistral,25,paged_precision,sink,0.25,2.3261036214641706,175.25439453125,99.0
mistral,25,paged_precision,recent,0.25,2.2026998280850023,175.25439453125,99.0
mistral,25,paged_precision,attention_ema,0.25,2.19040164588219,175.25439453125,99.0
mistral,25,paged_precision,sink,0.5,2.2907347421888176,208.25439453125,66.0
mistral,25,paged_precision,recent,0.5,2.1998502629577743,208.25439453125,66.0
mistral,25,paged_precision,attention_ema,0.5,2.183128577005519,208.25439453125,66.0
mistral,25,tq3,,,2.1763873105899023,208.2509765625,0.0
mistral,25,tq4,,1.0,2.173271012339601,274.251953125,0.0
mistral,26,bf16,,,1.4883260219483336,1056.0,0.0
mistral,26,tq2,,,1.8068745996228444,142.25048828125,0.0
mistral,26,paged_precision,,0.0,1.8471235304618858,142.25439453125,0.0
mistral,26,paged_precision,sink,0.1,1.812012551454579,155.75439453125,118.5
mistral,26,paged_precision,recent,0.1,1.5617034817581903,155.75439453125,118.5
mistral,26,paged_precision,attention_ema,0.1,1.5338838969792885,155.75439453125,118.5
mistral,26,paged_precision,sink,0.25,1.8235122129447063,175.25439453125,99.0
